,top_speed_kmh,battery_capacity_kWh,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,towing_capacity_kg,cargo_volume_l,seats,length_mm,width_mm,height_mm,range_per_kwh,power_to_weight_ratio
count,478.0,478.0,276.0,471.0,478.0,478.0,478.0,477.0,452.0,474.0,478.0,478.0,478.0,478.0,478.0,471.0
mean,185.48744769874477,74.04372384937238,485.29347826086956,498.0127388535032,162.90376569037656,393.1799163179916,6.882635983263599,125.0083857442348,1052.2610619469026,493.8607594936709,5.2635983263598325,4678.506276150628,1887.3598326359834,1601.1255230125523,5.3802043484746305,34.99303987998815
std,34.25277306517665,20.331057516290407,1210.8197331909425,241.46112820311453,34.31753233585034,103.28733534137531,2.7306958738139135,58.205012318041206,737.8517736642874,187.00567429931306,1.0039613476555191,369.21057345318,73.65680671637394,130.75485142475415,0.7144687751749792,16.157751195471395
min,125.0,21.3,72.0,113.0,109.0,135.0,2.2,29.0,0.0,151.0,2.0,3620.0,1610.0,1329.0,3.103448275862069,9.324583416222566
25%,160.0,60.0,150.0,305.0,143.0,320.0,4.8,80.0,500.0,385.0,5.0,4440.0,1849.0,1514.0,4.944088491295938,22.43211919306143
50%,180.0,76.15,216.0,430.0,155.0,397.5,6.6,113.0,1000.0,470.0,5.0,4720.0,1890.0,1596.0,5.430471967057333,30.73572221201796
75%,201.0,90.6,324.0,679.0,177.75,470.0,8.2,150.0,1600.0,544.5,5.0,4961.0,1939.0,1665.0,5.905511811023622,45.80956961909343
max,325.0,118.0,7920.0,1350.0,370.0,685.0,19.1,281.0,2500.0,1410.0,9.0,5908.0,2080.0,1986.0,7.355371900826446,102.81371168979379
